,Rank,Cafe,Menu,Price,Address,Telephone,Home Page,Lattitude,Longitude
0,1,Old Oak Tap,BLT,$10,2109 W. Chicago Ave.,773-772-0406, theoldoaktap.com,41.8956049,-87.67996149999999
1,2,Au Cheval,Fried Bologna,$9,800 W. Randolph St.,312-929-4580, aucheval.tumblr.com,41.8846582,-87.6476668
2,3,Xoco,Woodland Mushroom,$9.50,445 N. Clark St.,312-334-3688, rickbayless.com,41.8905226,-87.6307834
3,4,Al’s Deli,Roast Beef,$9.40,"914 Noyes St.,  Evanston",847-475-9400, alsdeli.net,42.0583217,-87.6837479
4,5,Publican Quality Meats,PB&L,$10,825 W. Fulton Mkt.,312-445-8977, publicanqualitymeats.com,41.8866036,-87.64853649999999
5,6,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,$7.25,100 E. Walton St.,312-649-6717, ,41.9002501,-87.6250781
6,7,Acadia,Lobster Roll,$16,1639 S. Wabash Ave.,312-360-9500, acadiachicago.com,41.8590541,-87.6252007
7,8,Birchwood Kitchen,Smoked Salmon Salad,$10,2211 W. North Ave.,773-276-2100, birchwoodkitchen.com,41.9102031,-87.68287529999999
8,9,Cemitas Puebla,Atomica Cemitas,$9,3619 W. North Ave.,773-772-8435, cemitaspuebla.com,41.9097558,-87.7176727
9,10,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,$17,3267 S. Halsted St.,312-929-2486, nanaorganic.com,41.8345302,-87.6456492
10,11,Lula Cafe,Ham and Raclette Panino,$11,2537 N. Kedzie Blvd.,773-489-9554, lulacafe.com,41.9276207,-87.706792
11,12,Ricobene’s,Breaded Steak,$5.49, , , ricobenespizza.com,,
12,13,Frog n Snail,The Hawkeye,$14,3124 N. Broadway,773-661-9166, frognsnail.com,41.9384419,-87.64464369999999
13,14,Crosby’s Kitchen,Chicken Dip,$10,3455 N. Southport Ave.,773-883-2525, crosbyskitchenchicago.com,41.9451044,-87.6636812
14,15,Longman & Eagle,Wild Boar Sloppy Joe,$13,2657 N. Kedzie Ave.,773-276-7110, longmanandeagle.com,41.930109,-87.7072408
15,16,Bari,Meatball Sub,$4.50,1120 W. Grand Ave.,312-666-0730, bariitaliansubs.com,41.89129000000001,-87.655557
16,17,Manny’s,Corned Beef,$11.95,1141 S. Jefferson St.,312-939-2855, mannysdeli.com,41.8678529,-87.6419289
17,18,Eggy’s,Turkey Club,$11.50,333 E. Benton Pl.,773-234-3449, eggysdiner.com,41.8852691,-87.6184837
