광역,지역,상호,주소
경기,용인시수지구,서창산업㈜죽전(상)주유소,경기 용인시 수지구 경부고속도로 400
경기,용인시수지구,풍덕천Self주유소,경기 용인시 수지구 포은대로 402 (풍덕천동)
경기,용인시수지구,대명에너지 광교셀프직영점,경기 용인시 수지구 포은대로 58 (상현동)
경기,용인시수지구,반도주유소,경기 용인시 수지구 신수로683번길 11 (풍덕천동)
경기,용인시수지구,지에스칼텍스㈜ 죽전주유소,경기 용인시 수지구 용구대로 2782 (죽전동)
경기,용인시수지구,현대오일뱅크㈜직영 죽전현대셀프주유소,경기 용인시 수지구 용구대로 2751 (죽전동)
경기,용인시수지구,(주)만남이엔지 두꺼비주유소,경기 용인시 수지구 고기로 1
경기,용인시수지구,GS칼텍스㈜ 수지주유소,경기 용인시 수지구 수지로 164
경기,용인시수지구,SK에너지(주)엔크린주유소,경기 용인시 수지구  용구대로 2748 (죽전동)
경기,용인시수지구,지에스칼텍스(주)수지제일주유소,경기도 용인시 수지구 수지로 350 (풍덕천동)
경기,용인시기흥구,㈜한미석유 기흥주유소/충전소,경기 용인시 기흥구 공세로 173
경기,용인시기흥구,미키주유소,경기 용인시 기흥구  용구대로 2469번길 57
경기,용인시기흥구,아이언맨주유소,경기 용인시 기흥구 신갈로 13 (상갈동)
경기,용인시기흥구,보정꽃길주유소,경기 용인시 기흥구 용구대로2469번길 153
경기,용인시기흥구,청정에너지주유소,경기 용인시 기흥구 용구대로2469번길 161
경기,용인시기흥구,구성그린주유소,경기 용인시 기흥구 용구대로 2421 (마북동)
경기,용인시기흥구,(주)삼표에너지 보정주유소,경기 용인시 기흥구 용구대로2469번길 150 (보정동)
경기,용인시기흥구,SK에너지㈜직영 기쁨셀프주유소,경기 용인시 기흥구 용구대로2469번길130 (보정동)
경기,용인시기흥구,이마트셀프전용주유소,경기 용인시 기흥구 용구대로 2441 (마북동)
경기,용인시기흥구,태영주유소,경기 용인시 기흥구 중부대로 859 (상하동)
