기간	구분	일반가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	평균가구원수
기간	구분	일반가구수	1인	2인	3인	4인	5인	6인	7인 이상	평균가구원수
2019	합계	3,896,389	1,299,787	1,005,065	801,819	614,026	138,596	29,336	7,760	2.3
2019	종로구	62,652	24,671	16,208	11,154	7,828	2,143	505	143	2.2
2019	중구	54,496	22,078	14,578	9,540	6,292	1,533	373	102	2.1
2019	용산구	93,177	35,148	25,164	17,439	11,736	2,907	612	171	2.2
2019	성동구	122,770	41,488	32,125	25,634	18,379	4,014	877	253	2.3
2019	광진구	149,905	58,714	35,678	28,054	21,454	4,711	1,006	288	2.2
2019	동대문구	148,349	58,152	36,060	27,436	20,168	4,988	1,204	341	2.2
2019	중랑구	160,776	52,196	44,057	33,160	24,003	5,766	1,251	343	2.3
2019	성북구	176,729	57,832	44,443	37,033	28,861	6,718	1,446	396	2.4
2019	강북구	128,012	42,791	35,439	25,967	18,104	4,465	981	265	2.3
2019	도봉구	126,831	32,653	36,329	29,580	22,061	4,901	1,014	293	2.5
2019	노원구	201,458	53,365	52,832	46,783	38,952	7,772	1,447	307	2.5
2019	은평구	184,890	52,814	52,257	40,789	29,700	7,303	1,604	423	2.4
2019	서대문구	128,635	46,449	32,581	25,283	18,696	4,376	976	274	2.3
2019	마포구	156,885	59,248	39,471	29,985	21,930	4,962	1,014	275	2.2
2019	양천구	162,867	36,345	41,435	40,897	35,189	7,272	1,393	336	2.6
2019	강서구	240,135	79,371	63,517	49,322	37,325	8,458	1,707	435	2.3
2019	구로구	160,378	47,740	43,700	34,624	26,459	6,214	1,261	380	2.4
2019	금천구	99,315	37,778	25,207	18,771	13,535	3,131	708	185	2.2
2019	영등포구	153,923	58,214	38,671	29,661	21,503	4,597	1,032	245	2.2
2019	동작구	164,963	60,088	40,739	32,514	24,570	5,564	1,204	284	2.3
2019	관악구	242,154	119,863	55,423	34,875	24,563	5,806	1,283	341	2
2019	서초구	155,377	42,667	38,892	35,327	29,850	6,704	1,503	434	2.5
2019	강남구	206,524	66,073	51,560	43,435	35,800	7,671	1,564	421	2.4
2019	송파구	252,212	68,861	65,402	57,821	47,607	10,014	2,038	469	2.5
2019	강동구	162,976	45,188	43,297	36,735	29,461	6,606	1,333	356	2.5
