광역시도,시군구,행정구,구분,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
서울,소계,,계,9096901,983091,402343,548245,768413,687804,746830,677660,782455,731258,728273,664875,465250,370242,280007,163363,96792
서울,소계,,남자,4386287,505543,201751,233761,377349,341858,374514,335606,385491,354886,349208,313417,218378,170303,126711,66754,30757
서울,소계,,여자,4710614,477548,200592,314484,391064,345946,372316,342054,396964,376372,379065,351458,246872,199939,153296,96609,66035
서울, 종로구,,계,136649,12204,5801,9816,11972,9459,9511,9034,11784,11462,11781,10125,7057,5960,5277,3341,2065
서울, 종로구,,남자,65594,6183,2803,4230,6167,4747,4657,4341,5709,5511,5773,5021,3369,2659,2290,1387,747
서울, 종로구,,여자,71055,6021,2998,5586,5805,4712,4854,4693,6075,5951,6008,5104,3688,3301,2987,1954,1318
서울, 중구,,계,115665,9839,3896,7511,10304,9636,9874,7836,8903,9313,9786,9002,6211,5077,4201,2581,1695
서울, 중구,,남자,55820,4988,1896,3103,5115,4790,4990,4054,4423,4587,4830,4430,2998,2295,1795,1003,523
서울, 중구,,여자,59845,4851,2000,4408,5189,4846,4884,3782,4480,4726,4956,4572,3213,2782,2406,1578,1172
서울, 용산구,,계,204196,19559,7501,11472,17506,17246,18041,14951,17554,16489,16246,14708,9927,8197,7027,4763,3009
서울, 용산구,,남자,97390,10065,3759,4330,8410,8569,9068,7366,8636,8072,7884,7103,4649,3653,2997,1831,998
서울, 용산구,,여자,106806,9494,3742,7142,9096,8677,8973,7585,8918,8417,8362,7605,5278,4544,4030,2932,2011
서울, 성동구,,계,283330,30197,10671,18283,24581,23496,25511,20848,23252,22648,23060,20026,13394,10709,8671,5088,2895
서울, 성동구,,남자,137125,15351,5102,8031,12340,11337,12850,10595,11507,10993,11388,9745,6328,4811,3819,2001,927
서울, 성동구,,여자,146205,14846,5569,10252,12241,12159,12661,10253,11745,11655,11672,10281,7066,5898,4852,3087,1968
서울, 광진구,,계,331747,32469,13876,23459,34142,28298,27452,23864,27457,26699,26245,23174,15295,11954,9070,5249,3044
서울, 광진구,,남자,159187,16646,6894,9737,16584,13899,13652,11856,13358,12787,12669,10982,7247,5584,4166,2151,975
서울, 광진구,,여자,172560,15823,6982,13722,17558,14399,13800,12008,14099,13912,13576,12192,8048,6370,4904,3098,2069
서울, 동대문구,,계,327897,31997,13409,25861,28918,23122,25879,22912,25630,25108,25818,24466,17684,14563,11812,6837,3881
서울, 동대문구,,남자,160582,16435,6438,11160,15493,11957,13332,11809,13042,12408,12500,11684,8397,6554,5232,2851,1290
서울, 동대문구,,여자,167315,15562,6971,14701,13425,11165,12547,11103,12588,12700,13318,12782,9287,8009,6580,3986,2591
서울, 중랑구,,계,374640,36279,14494,20957,30295,27417,29807,25657,30164,32515,34743,31018,21234,16662,12597,6985,3816
서울, 중랑구,,남자,183357,18704,7198,9518,14895,13917,15562,13367,15104,15617,16868,14952,10219,7699,5685,2911,1141
서울, 중랑구,,여자,191283,17575,7296,11439,15400,13500,14245,12290,15060,16898,17875,16066,11015,8963,6912,4074,2675
서울, 성북구,,계,418403,46591,20022,31437,33472,27069,31749,30584,37234,33362,32063,29431,20684,17189,14292,8539,4685
서울, 성북구,,남자,200642,24004,9728,12713,17179,13450,15806,15130,18363,16537,15259,13983,9650,7534,6271,3487,1548
서울, 성북구,,여자,217761,22587,10294,18724,16293,13619,15943,15454,18871,16825,16804,15448,11034,9655,8021,5052,3137
서울, 강북구,,계,294143,26913,12240,17451,21719,18119,21080,20338,25240,24702,25722,24103,17721,15529,12676,7079,3511
서울, 강북구,,남자,141759,13840,6148,7327,10914,9389,11100,10464,12681,11819,12258,11394,7960,6734,5641,2924,1166
서울, 강북구,,여자,152384,13073,6092,10124,10805,8730,9980,9874,12559,12883,13464,12709,9761,8795,7035,4155,2345
서울, 도봉구,,계,315032,31599,14456,18102,22124,18994,22399,21334,27095,27501,28711,27243,18307,14428,11752,6900,4087
서울, 도봉구,,남자,152106,16321,7300,7977,11171,9642,11463,10611,13157,12930,13532,12938,8886,6729,5309,2805,1335
서울, 도봉구,,여자,162926,15278,7156,10125,10953,9352,10936,10723,13938,14571,15179,14305,9421,7699,6443,4095,2752
서울, 노원구,,계,504967,58692,29678,32970,33737,29052,35325,37475,48721,44381,41590,37210,25344,19500,15579,9658,6055
서울, 노원구,,남자,241951,30320,15188,14952,17478,14565,17432,17882,23168,21501,19843,17284,11890,8634,6480,3512,1822
서울, 노원구,,여자,263016,28372,14490,18018,16259,14487,17893,19593,25553,22880,21747,19926,13454,10866,9099,6146,4233
