,광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,ID,y,x,여성비,2030여성비
0,강원,강릉시,46008,20993,40497,203057,101154,101903,1.036768155665852,0,강릉,3,11,0.18443097258404872,-4.370978960180838
1,강원,고성군,4006,1699,7005,23621,11933,11688,0.48508208422555316,1,고성(강원),0,10,-0.5186063248804051,-7.588617074388415
2,강원,동해시,16311,7510,16152,83888,42093,41795,0.9299157999009411,1,동해,4,11,-0.17761777608239493,-3.9574520262399604
3,강원,삼척시,12428,5280,14953,61833,31630,30203,0.7062128001070019,1,삼척,5,11,-1.1539145763588998,-7.515288059221115
4,강원,속초시,15928,7411,14010,76302,37488,38814,1.0579586009992863,0,속초,1,10,0.8689156247542629,-3.471873430436967
5,강원,양구군,4656,2016,4123,19900,10272,9628,0.9779286926994907,1,양구,0,9,-1.618090452261306,-6.70103092783505
6,강원,양양군,4020,1810,7405,25125,12599,12526,0.4888588791357191,1,양양,2,10,-0.14527363184079767,-4.975124378109452
7,강원,영월군,4983,2227,10051,34342,17530,16812,0.4431399860710377,1,영월,7,10,-1.0453671888649485,-5.308047361027496
8,강원,원주시,83196,40779,46837,329874,163155,166719,1.7413156265345773,0,원주,5,10,0.540206260572218,-0.984422327996537
9,강원,인제군,6320,2739,5793,28219,14807,13412,0.9456240290005179,1,인제,1,8,-2.4717388993231504,-6.661392405063293
10,강원,정선군,5007,2222,8810,32728,16876,15852,0.5044267877412032,1,정선,3,10,-1.564409679784895,-5.6221290193728795
11,강원,철원군,8373,3767,9045,40147,20255,19892,0.8329463792150359,1,철원,0,7,-0.4520885744887515,-5.010151678012659
12,강원,춘천시,66567,32994,44624,265695,129655,136040,1.4787558264610972,0,춘천,1,9,1.2015657050377326,-0.43490017576276463
13,강원,태백시,6857,3211,9412,40467,20307,20160,0.6823204419889503,1,태백,4,10,-0.18162947586922717,-3.171941082105878
14,강원,평창군,5597,2544,10304,37624,19034,18590,0.4937888198757764,1,평창,6,10,-0.5900489049542823,-4.5470787922101135
15,강원,홍천군,10966,4987,15824,62531,31608,30923,0.6303083923154702,1,홍천,2,8,-0.54772832674993,-4.523071311325916
16,강원,화천군,5189,2166,4863,21700,11302,10398,0.8908081431215299,1,화천,0,8,-2.0829493087557607,-8.257853150896127
17,강원,횡성군,6502,3045,11883,41427,20919,20508,0.5124968442312547,1,횡성,2,9,-0.49605329857339564,-3.168255921254998
18,경기,가평군,10406,4848,13649,55249,27803,27446,0.7103817129460034,1,가평,3,7,-0.32308277072888303,-3.4114933692100724
19,경기,과천시,13196,6605,7335,52389,25565,26824,1.8009543285616905,0,과천,7,7,1.2015881196434375,0.053046377690213475
20,경기,광명시,79498,39850,39032,300735,146975,153760,2.0419143267062925,0,광명,4,4,1.1280695629042214,0.12704722131374746
21,경기,광주시,95920,46955,43492,350406,177168,173238,2.1592476777338363,0,광주,7,9,-0.5607780688686836,-1.0477481234361985
22,경기,구리시,50331,25537,23685,187625,91954,95671,2.1563858982478363,0,구리,3,8,0.9905396402398403,0.7381136873894856
23,경기,군포시,71824,35603,31741,261123,128228,132895,2.2433445701143633,0,군포,9,5,0.8936401619160317,-0.4302183114279323
24,경기,권선구,109106,53806,36968,356678,178020,178658,2.910950010820169,0,수원 권선,10,5,0.08943641043182016,-0.6846552893516378
25,경기,기흥구,104472,53670,49705,408613,200436,208177,2.159541293632431,0,용인 기흥,9,8,0.9472287959511827,1.372616586262343
26,경기,김포시,107755,55346,49106,410416,203616,206800,2.2541440964444264,0,김포,4,2,0.3878991072472804,1.3628137905433602
27,경기,남양주시,158873,81508,86857,658410,324619,333791,1.8768320342632143,0,남양주,2,7,0.696526480460502,1.303871645905852
28,경기,단원구,84580,40558,27101,292166,148143,144023,2.993099885613077,0,안산 단원,8,3,-0.7050786196888092,-2.047765429179477
29,경기,덕양구,115693,58376,60361,434496,212696,221800,1.934229055184639,0,고양 덕양,3,4,1.0476506112829576,0.45767678251925625
30,경기,동두천시,19995,9706,16535,87789,43473,44316,1.1739945570003023,0,동두천,1,4,0.4801284899019209,-1.4578644661165319
31,경기,동안구,83368,42071,33709,305176,148374,156802,2.496128630336112,0,안양 동안,5,3,1.3808425302120786,0.46420688993378256
32,경기,만안구,65727,32133,34077,232970,115363,117607,1.8859054494233647,0,안양 만안,4,3,0.48160707387217006,-1.1114154000639032
33,경기,부천시,225145,112536,97382,789832,388300,401532,2.311227947670001,0,부천,5,2,0.8376464868478317,-0.016211774634122822
34,경기,분당구,121818,63839,54830,450949,216999,233950,2.328615721320445,0,성남 분당,8,7,1.879480828208957,2.4052274704887577
35,경기,상록구,94432,45514,34801,329833,165899,163934,2.615671963449326,0,안산 상록,7,3,-0.29787801705711825,-1.8023551338529287
36,경기,수정구,64575,31237,33149,221396,110653,110743,1.8846420706506983,0,성남 수정,8,8,0.020325570471013688,-1.6267905536198224
37,경기,수지구,87093,45783,44174,343400,166498,176902,2.072848281794721,0,용인 수지,8,9,1.5148514851485162,2.567944610933137
38,경기,시흥시,130804,62272,38348,451166,232951,218215,3.247731302805883,0,시흥,6,3,-1.6331017851522522,-2.3928931836946887
39,경기,안성시,43275,20391,28371,174023,88473,85550,1.4374537379718726,0,안성,10,4,-0.8398315165236758,-2.8804159445407262
40,경기,양주시,49259,24354,30411,207734,103990,103744,1.6016572950577095,0,양주,1,3,-0.05921033629545658,-0.5592886579102285
41,경기,양평군,18583,9046,25713,105056,52233,52823,0.703612958425699,1,양평,4,9,0.28080261955528707,-1.32109993004359
42,경기,여주시,21655,10328,20924,102076,51516,50560,0.9871917415408143,1,여주,5,9,-0.4682785375602516,-2.3066266451165998
43,경기,연천군,8293,3506,10094,39677,20488,19189,0.6946701010501288,1,연천,1,5,-1.636968520805504,-7.723381164837817
44,경기,영통구,114114,56846,23901,349508,174245,175263,4.756788418894607,0,수원 영통,9,7,0.14563329022511118,-0.18490281648176343
45,경기,오산시,66228,31630,19071,215639,110191,105448,3.3170782864034396,0,오산,10,3,-1.0997546825945226,-2.240744096152686
46,경기,의왕시,40279,19807,19547,150673,74450,76223,2.0266025477055303,0,의왕,9,6,0.5883602237959029,-0.8254921919610692
47,경기,의정부시,112160,56859,60671,425099,207441,217658,1.8743386461406604,0,의정부,1,7,1.2017200699131259,0.6945435092724717
48,경기,이천시,52726,25107,27195,200370,101752,98618,1.846442360728075,0,이천,6,9,-0.782053201577082,-2.38212646512157
