상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,빽다방 매장수
빽다방,,강원도 원주시 무실로12번길 33,127.947781198558,37.3500059818461,강원도,원주시,원주,빽다방,1
빽다방,춘천석사CGV점,강원도 춘천시 지석로 85,127.74483157673299,37.8511252984256,강원도,춘천시,춘천,빽다방,1
빽다방,강릉금학점,강원도 강릉시 신대학길 14,128.894954081206,37.7527998624499,강원도,강릉시,강릉,빽다방,1
빽다방,삼척대학로점,강원도 삼척시 대학로 23-8,129.163076834853,37.4432811058981,강원도,삼척시,삼척,빽다방,1
빽다방,원주단구GS점,강원도 원주시 남원로534번길 20,127.94867497082599,37.3303891369222,강원도,원주시,원주,빽다방,1
빽다방,강원대점,강원도 춘천시 서부대성로239번길 4,127.74491527683399,37.873002509237,강원도,춘천시,춘천,빽다방,1
빽다방,원주중앙1호점,강원도 원주시 원일로115번길 6,127.94793934118401,37.3498348403043,강원도,원주시,원주,빽다방,1
빽다방,삼척대학로점,강원도 삼척시 대학로 23,129.163178666434,37.4432891142107,강원도,삼척시,삼척,빽다방,1
빽다방,춘천명동점,강원도 춘천시 중앙로67번길 18,127.72774545171002,37.877730500702704,강원도,춘천시,춘천,빽다방,1
빽다방강릉교동중앙점,강릉교동중앙점,강원도 강릉시 솔올로 51,128.87819831139,37.7666845115752,강원도,강릉시,강릉,빽다방,1
빽다방동해천곡점,동해천곡점,강원도 동해시 한섬로 111-7,129.115249607932,37.5222593064486,강원도,동해시,동해,빽다방,1
빽다방,홍천중앙점,강원도 홍천군 홍천읍 꽃뫼로 99,127.88467907435499,37.6915626834471,강원도,홍천군,홍천,빽다방,1
빽다방,,강원도 원주시 원일로 115,127.948108472824,37.3500962370253,강원도,원주시,원주,빽다방,1
빽다방,춘천명동씨지브이점,강원도 춘천시 명동길 15-1,127.72705855511101,37.8790444112726,강원도,춘천시,춘천,빽다방,1
빽다방,원주혁신도시점,강원도 원주시 혁신로 61,127.98082636437599,37.323397048067,강원도,원주시,원주,빽다방,1
빽다방부천심곡대성점,부천심곡대성점,경기도 부천시 부천로 79,126.784085909903,37.4914325368328,경기도,부천시,부천,빽다방,1
빽다방,부천상지초교점,경기도 부천시 장말로199번길 6-4,126.76427144266,37.4929749355153,경기도,부천시,부천,빽다방,1
빽다방,안양비산점,경기도 안양시 동안구 관악대로 177,126.94377619705901,37.399204284892505,경기도,동안구,동안,빽다방,1
빽다방,단대오거리역점,경기도 성남시 중원구 산성대로 354,127.155654663191,37.443915449348296,경기도,중원구,중원,빽다방,1
빽다방김포장기쌍용점,김포장기쌍용점,경기도 김포시 김포한강2로23번길 50,126.679619610658,37.6410151320518,경기도,김포시,김포,빽다방,1
빽다방동탄은행사거리점,동탄은행사거리점,경기도 화성시 동탄지성로 121,127.061867369068,37.2087463796896,경기도,화성시,화성,빽다방,1
빽다방,역곡점,경기도 부천시 부일로 748,126.81275720016701,37.486092667189205,경기도,부천시,부천,빽다방,1
빽다방,송내역남부점,경기도 부천시 송내대로 33,126.75279973222,37.48648406123571,경기도,부천시,부천,빽다방,1
빽다방,병점점,경기도 화성시 효행로 1028,127.04005917400801,37.2129780300867,경기도,화성시,화성,빽다방,1
빽다방,포천송우중앙점,경기도 포천시 소흘읍 송우로 80,127.140603094569,37.830371874476796,경기도,포천시,포천,빽다방,1
빽다방,수원천천롯데점,경기도 수원시 장안구 만석로19번길 25-3,126.98328299407,37.2963145120979,경기도,장안구,장안,빽다방,1
빽다방,구리돌다리점,경기도 구리시 검배로6번길 27,127.140216724468,37.5997234088399,경기도,구리시,구리,빽다방,1
빽다방,이천로데오점,경기도 이천시 어재연로37번길 27,127.444095797974,37.2805157355222,경기도,이천시,이천,빽다방,1
빽다방,미금역농협점,경기도 성남시 분당구 돌마로90번길 4,127.111720522244,37.3497103191204,경기도,분당구,분당,빽다방,1
빽다방,야탑역NC점,경기도 성남시 분당구 야탑로75번길 15,127.126810235007,37.411159138071206,경기도,분당구,분당,빽다방,1
빽다방,동탄북광장점,경기도 화성시 동탄중심상가2길 5,127.072694091828,37.205975137433796,경기도,화성시,화성,빽다방,1
빽다방,평촌CGV점,경기도 안양시 동안구 관평로170번길 33,126.96224933433001,37.3929702972725,경기도,동안구,동안,빽다방,1
빽다방,안양역점,경기도 안양시 만안구 만안로 224,126.92308718467,37.4006305596689,경기도,만안구,만안,빽다방,1
빽다방,평택소사벌1호점,경기도 평택시 평남로 941,127.104167695061,37.0046099629836,경기도,평택시,평택,빽다방,1
빽다방,파주금릉역점,경기도 파주시 금빛로 24,126.76686429866699,37.7519811388475,경기도,파주시,파주,빽다방,1
빽다방,범계역점,경기도 안양시 동안구 평촌대로223번길 42,126.953288571332,37.3908999607917,경기도,동안구,동안,빽다방,1
빽다방,오산역점,경기도 오산시 대원로 14,127.06996888652901,37.1461743881899,경기도,오산시,오산,빽다방,1
빽다방,평내호평역점,경기도 남양주시 늘을2로 32,127.24406506062701,37.655650518351,경기도,남양주시,남양주,빽다방,1
빽다방,,경기도 의정부시 호국로1298번길 75,127.048473490129,37.7401298695735,경기도,의정부시,의정부,빽다방,1
빽다방,과천렉스타운점,경기도 과천시 별양상가1로 25,126.992528747881,37.4282655938422,경기도,과천시,과천,빽다방,1
빽다방,분당서현대명점,경기도 성남시 분당구 황새울로360번길 12,127.124984247659,37.386528227323396,경기도,분당구,분당,빽다방,1
빽다방,하남신장시장점,경기도 하남시 신장로 122,127.204789506151,37.538066376766295,경기도,하남시,하남,빽다방,1
빽다방,강남대점,경기도 용인시 기흥구 강남로 3,127.126131428473,37.2709903107511,경기도,기흥구,기흥,빽다방,1
빽다방,김포사우점,경기도 김포시 돌문로 50,126.717730697881,37.619549993380296,경기도,김포시,김포,빽다방,1
