상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,이디야 매장수
이디야커피,우두동점,강원도 춘천시 충열로 39,127.732713957192,37.899492666144205,강원도,춘천시,춘천,이디야,1
이디야커피,철원와수점,강원도 철원군 서면 와수로181번길 25-21,127.43810906087099,38.2391466875099,강원도,철원군,철원,이디야,1
이디야커피,하이원점,강원도 정선군 고한읍 하이원길 265-1,128.827806542105,37.2094876563461,강원도,정선군,정선,이디야,1
이디야에스프레소,,강원도 춘천시 시청길10번길 4-1,127.72857804168999,37.880075095768795,강원도,춘천시,춘천,이디야,1
이디야커피,춘천애막골점,강원도 춘천시 후석로186번길 18,127.75428901899099,37.8673099149838,강원도,춘천시,춘천,이디야,1
이디야커피,무실점,강원도 원주시 시청로 70,127.926369917903,37.3373880277738,강원도,원주시,원주,이디야,1
이디야커피전문점,,강원도 춘천시 보안길 70-2,127.750391299493,37.8805558555956,강원도,춘천시,춘천,이디야,1
이디야커피,,강원도 원주시 흥업면 울업1길 29,127.923009662326,37.3014133243803,강원도,원주시,원주,이디야,1
이디야커피,,강원도 춘천시 보안길 70-3,127.75058370190901,37.8808085512144,강원도,춘천시,춘천,이디야,1
이디야커피,강릉교동점,강원도 강릉시 솔올로 39,128.87793521029698,37.765551185268706,강원도,강릉시,강릉,이디야,1
이디야커피,강원양구점,강원도 양구군 양구읍 중앙길 10,127.989129950762,38.1070912779916,강원도,양구군,양구,이디야,1
이디아커피점,장학점,강원도 춘천시 동면 춘천로449번길 20,127.753811666933,37.8946280902476,강원도,춘천시,춘천,이디야,1
이디야커피,원통점,강원도 인제군 북면 금강로 5,128.208209765625,38.121386272441505,강원도,인제군,인제,이디야,1
이디야커피,석사점,강원도 춘천시 퇴계농공로 10,127.744020389716,37.8523939937387,강원도,춘천시,춘천,이디야,1
이디야커피,강원화천점,강원도 화천군 화천읍 상승로 42-7,127.70440827187299,38.1046657329467,강원도,화천군,화천,이디야,1
이디야커피,,강원도 강릉시 경강로 2120,128.898631873341,37.7557001986643,강원도,강릉시,강릉,이디야,1
이디야커피,강릉중앙점,강원도 강릉시 금성로 58,128.894945182937,37.752061091830605,강원도,강릉시,강릉,이디야,1
이디야커피,퇴계점,강원도 춘천시 퇴계로93번길 15,127.731594915031,37.863196725647796,강원도,춘천시,춘천,이디야,1
이디야커피,흥업점,강원도 원주시 흥업면 남원로 85,127.919938977785,37.3037451851204,강원도,원주시,원주,이디야,1
이디야커피,동송터미널점,강원도 철원군 동송읍 이평1로 1,127.218471424671,38.2071850924796,강원도,철원군,철원,이디야,1
이디야커피,,강원도 홍천군 홍천읍 홍천로 321,127.880737227329,37.6889817341284,강원도,홍천군,홍천,이디야,1
이디야커피,춘천현대점,강원도 춘천시 춘천로269번길 1,127.743026449496,37.8801075177451,강원도,춘천시,춘천,이디야,1
이디야커피,춘천온의롯데캐슬점,강원도 춘천시 방송길 70,127.71661168683,37.8701355893306,강원도,춘천시,춘천,이디야,1
이디야커피,속초중앙점,강원도 속초시 수복로 197-1,128.588616976319,38.205292538853705,강원도,속초시,속초,이디야,1
이디야커피,연봉점,강원도 홍천군 홍천읍 연봉로 32,127.877233767679,37.6819949260026,강원도,홍천군,홍천,이디야,1
이디야커피인제점인제점,인제점,강원도 인제군 인제읍 인제로 200-1,128.172673756114,38.0691320377556,강원도,인제군,인제,이디야,1
이디야커피,거두점,강원도 춘천시 동내면 춘천순환로 134,127.758756897192,37.8565157902657,강원도,춘천시,춘천,이디야,1
이디야커피,원주터미널점,강원도 원주시 서원대로 168,127.930088082608,37.343941375563105,강원도,원주시,원주,이디야,1
이디야커피,속초해수욕장점,강원도 속초시 해오름로 137,128.604996953427,38.1867484083806,강원도,속초시,속초,이디야,1
이디야커피,,강원도 춘천시 영서로 2260,127.72389748577,37.8640439177235,강원도,춘천시,춘천,이디야,1
이디야커피,속초교동점,강원도 속초시 중앙로 44,128.581392134394,38.1999047019816,강원도,속초시,속초,이디야,1
이디야커피,원주태장점,강원도 원주시 흥양로51번길 11,127.95289521969299,37.3848450069217,강원도,원주시,원주,이디야,1
이디야커피,거두사거리점,강원도 춘천시 동내면 춘천순환로 70,127.75163544886298,37.8553476651359,강원도,춘천시,춘천,이디야,1
이디야커피홍천제일점,홍천제일점,강원도 홍천군 홍천읍 공작산로 45,127.89777525973999,37.6918450800355,강원도,홍천군,홍천,이디야,1
이디야커피,,강원도 원주시 건강로 23,127.987821811764,37.325326362576,강원도,원주시,원주,이디야,1
이디야커피장학점,장학점,강원도 춘천시 동면 춘천로449번길 30,127.75368599653,37.89480803256679,강원도,춘천시,춘천,이디야,1
이디야커피낙원점,낙원점,강원도 춘천시 중앙로 110,127.722564531047,37.8770246148814,강원도,춘천시,춘천,이디야,1
이디야커피,춘천제일점,강원도 춘천시 춘주로 89,127.71984690611099,37.8622322898941,강원도,춘천시,춘천,이디야,1
이디야커피,,강원도 인제군 남면 모루박길 17-46,128.095524406341,37.9880933741175,강원도,인제군,인제,이디야,1
이디야커피,강원도청점,강원도 춘천시 서부대성로 44,127.72788457408001,37.883173029825,강원도,춘천시,춘천,이디야,1
이디야커피강릉올림픽선수촌점,강릉올림픽선수촌점,강원도 강릉시 선수촌로 79-15,128.868708117408,37.757825720335,강원도,강릉시,강릉,이디야,1
이디야커피,중앙점,강원도 원주시 무실로12번길 33,127.947781198558,37.3500059818461,강원도,원주시,원주,이디야,1
이디야커피,원주법원점,강원도 원주시 능라동길 48-1,127.92971348461599,37.334128029001796,강원도,원주시,원주,이디야,1
이디야커피,단관점,강원도 원주시 단구로 387,127.956466043778,37.3221560647091,강원도,원주시,원주,이디야,1
이디야커피,옥천점,강원도 강릉시 옥천로 62,128.899180775457,37.7597956582079,강원도,강릉시,강릉,이디야,1
양양이디야,,강원도 양양군 양양읍 양양로 72,128.621332523488,38.0751129130434,강원도,양양군,양양,이디야,1
이디야커피,강원양양점,강원도 양양군 양양읍 양양로 72,128.621332523488,38.0751129130434,강원도,양양군,양양,이디야,1
이디야커피,동해천곡점,강원도 동해시 한섬로 112,129.116011293731,37.5209906539625,강원도,동해시,동해,이디야,1
이디야춘천,,강원도 춘천시 시청길10번길 4-1,127.72857804168999,37.880075095768795,강원도,춘천시,춘천,이디야,1
이디야커피,춘천애막골점,강원도 춘천시 후석로 110,127.74764328740801,37.8630069547065,강원도,춘천시,춘천,이디야,1
이디야커피,경동대점,강원도 고성군 토성면 봉포4길 18,128.5617284752,38.2529682486936,강원도,고성군,고성(강원),이디야,1
이디아강릉내곡점,강릉내곡점,강원도 강릉시 범일로 601,128.879963005235,37.741271512955706,강원도,강릉시,강릉,이디야,1
이디야커피,삼척교동점,강원도 삼척시 청석로 59,129.17547163541,37.4481953319909,강원도,삼척시,삼척,이디야,1
이디아커피점,장학점,강원도 춘천시 동면 춘천로449번길 11,127.753814997447,37.8936279582574,강원도,춘천시,춘천,이디야,1
이디야커피,강릉내곡점,강원도 강릉시 범일로 601,128.879963005235,37.741271512955706,강원도,강릉시,강릉,이디야,1
이디야커피,춘천점,강원도 춘천시 시청길10번길 4-1,127.72857804168999,37.880075095768795,강원도,춘천시,춘천,이디야,1
이디야커피,춘천공지천점,강원도 춘천시 수변공원길 11,127.707305657305,37.872257272540395,강원도,춘천시,춘천,이디야,1
이디야커피,춘천장학점,강원도 춘천시 동면 춘천로449번길 11,127.753814997447,37.8936279582574,강원도,춘천시,춘천,이디야,1
이디야커피,속초대포항점,강원도 속초시 동해대로 3741,128.605698588122,38.169464142769996,강원도,속초시,속초,이디야,1
이디야커피,원주반곡동점,강원도 원주시 오리현길 16-9,127.96777613834499,37.3386681088354,강원도,원주시,원주,이디야,1
이디야커피,세인트존스경포호텔점,강원도 강릉시 창해로 307,128.920907730533,37.7912986352446,강원도,강릉시,강릉,이디야,1
이디야커피,엑스포점,강원도 속초시 엑스포로 45,128.586321688389,38.1910236496909,강원도,속초시,속초,이디야,1
이디야커피,춘천의암호점,강원도 춘천시 서면 박사로 734,127.68337203939501,37.884485355060896,강원도,춘천시,춘천,이디야,1
이디야커피,강원평창점,강원도 평창군 평창읍 평창중앙로 55,128.395345459514,37.3683522264481,강원도,평창군,평창,이디야,1
