상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,커피빈 매장수
커피빈,,강원도 동해시 일출로 107,129.11896272175198,37.5527153220601,강원도,동해시,동해,커피빈,1
커피빈,코리아원주AK플라자점,강원도 원주시 봉화로 1,127.92762594653999,37.3456790421194,강원도,원주시,원주,커피빈,1
커피빈,곰씨네,강원도 춘천시 동내면 춘천순환로 61-15,127.751359475774,37.856311186948204,강원도,춘천시,춘천,커피빈,1
커피빈,,경기도 이천시 남천로 93,127.44768697144698,37.2767298541563,경기도,이천시,이천,커피빈,1
커피빈,코리아수원인계점,경기도 수원시 팔달구 권광로 195,127.032669257824,37.2649380770557,경기도,팔달구,팔달,커피빈,1
커피빈코리아일산원마운트점,코리아일산원마운트점,경기도 고양시 일산서구 한류월드로 300,126.754507255359,37.6645440393554,경기도,일산서구,일산서,커피빈,1
커피빈,코리아죽전단국대앞점,경기도 용인시 수지구 죽전로168번길 18,127.124881388273,37.32440680269271,경기도,수지구,수지,커피빈,1
커피빈,코리아분당수내점,경기도 성남시 분당구 황새울로214번길 8,127.112300100363,37.378125751863706,경기도,분당구,분당,커피빈,1
커피빈,코리아오리역애플플라자점,경기도 성남시 분당구 탄천상로151번길 20,127.10680901567801,37.34032009119729,경기도,분당구,분당,커피빈,1
커피빈,코리아수원애경역사점,경기도 수원시 팔달구 덕영대로 924,127.00008813955601,37.2656675906019,경기도,팔달구,팔달,커피빈,1
커피빈,일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24,126.772025233806,37.655888808787,경기도,일산동구,일산동,커피빈,1
커피빈플로리안,,경기도 고양시 일산서구 일산로 648,126.757174609615,37.6826644158131,경기도,일산서구,일산서,커피빈,1
커피빈,코리아구리점,경기도 구리시 검배로 3,127.141722418566,37.6007525514719,경기도,구리시,구리,커피빈,1
커피빈,,경기도 수원시 영통구 봉영로 1612,127.074963402274,37.2544629657597,경기도,영통구,영통,커피빈,1
커피빈,분당서현점,경기도 성남시 분당구 분당로53번길 11,127.121534919454,37.3840607319983,경기도,분당구,분당,커피빈,1
커피빈,코리아분당프라자점,경기도 성남시 분당구 황새울로 326,127.121849966435,37.38512634443521,경기도,분당구,분당,커피빈,1
커피빈,코리아분당차병원점,경기도 성남시 분당구 야탑로65번길 16,127.126348801297,37.411011557245104,경기도,분당구,분당,커피빈,1
커피빈컵엔,,경기도 군포시 금정로 43,126.940644598971,37.3657106778261,경기도,군포시,군포,커피빈,1
커피빈코리아일산원마운,,경기도 고양시 일산서구 한류월드로 300,126.754507255359,37.6645440393554,경기도,일산서구,일산서,커피빈,1
커피빈코리아일산,,경기도 고양시 일산동구 무궁화로 20-11,126.767529926287,37.661824637164,경기도,일산동구,일산동,커피빈,1
커피빈플로리안,,경기도 고양시 일산서구 일산로 646,126.757551519744,37.6824971962493,경기도,일산서구,일산서,커피빈,1
커피빈,,경기도 고양시 일산동구 호수로 358-25,126.78615675821399,37.6399159362023,경기도,일산동구,일산동,커피빈,1
커피빈,코리아판교아브뉴프랑점,경기도 성남시 분당구 동판교로177번길 25,127.113553422281,37.3973100809843,경기도,분당구,분당,커피빈,1
커피빈,코리아광교아브뉴프랑점,경기도 수원시 영통구 센트럴타운로 85,127.050464070999,37.291556147104295,경기도,영통구,영통,커피빈,1
커피빈,코리아분당삼성시범단지앞점,경기도 성남시 분당구 새마을로 8,127.131508838391,37.3838100124365,경기도,분당구,분당,커피빈,1
커피빈,코리아분당수내역점,경기도 성남시 분당구 황새울로258번길 29,127.116792684053,37.3792046395925,경기도,분당구,분당,커피빈,1
