ID,y,x,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
강릉,3,11,15.0,5.0,0.0,2.0,0.29411764705882354
고성(강원),0,10,1.0,2.0,0.0,0.0,2.0
동해,4,11,1.0,1.0,1.0,1.0,1.0
삼척,5,11,1.0,1.0,0.0,2.0,0.3333333333333333
속초,1,10,8.0,4.0,0.0,0.0,0.5
양구,0,9,1.0,0.0,0.0,0.0,0.0
양양,2,10,2.0,0.0,0.0,0.0,0.0
영월,7,10,0.0,0.0,0.0,0.0,0.0
원주,5,10,11.0,10.0,1.0,5.0,0.6875
인제,1,8,3.0,1.0,0.0,0.0,0.3333333333333333
정선,3,10,2.0,0.0,0.0,0.0,0.0
철원,0,7,2.0,0.0,0.0,0.0,0.0
춘천,1,9,27.0,10.0,1.0,4.0,0.3548387096774194
태백,4,10,1.0,1.0,0.0,0.0,1.0
평창,6,10,2.0,2.0,0.0,0.0,1.0
홍천,2,8,3.0,2.0,0.0,1.0,0.5
화천,0,8,1.0,0.0,0.0,0.0,0.0
횡성,2,9,1.0,0.0,0.0,0.0,0.0
가평,3,7,8.0,0.0,0.0,0.0,0.0
과천,7,7,1.0,4.0,0.0,1.0,2.0
광명,4,4,10.0,11.0,0.0,2.0,0.9166666666666666
광주,7,9,15.0,5.0,0.0,3.0,0.2777777777777778
구리,3,8,13.0,3.0,1.0,3.0,0.25
군포,9,5,10.0,4.0,2.0,7.0,0.35294117647058826
수원 권선,10,5,0.0,0.0,0.0,0.0,0.0
용인 기흥,9,8,0.0,0.0,0.0,0.0,0.0
김포,4,2,22.0,14.0,2.0,8.0,0.5333333333333333
남양주,2,7,46.0,12.0,1.0,3.0,0.2653061224489796
안산 단원,8,3,0.0,0.0,0.0,0.0,0.0
고양 덕양,3,4,0.0,0.0,0.0,0.0,0.0
동두천,1,4,3.0,4.0,0.0,0.0,1.3333333333333333
안양 동안,5,3,0.0,0.0,0.0,0.0,0.0
안양 만안,4,3,0.0,0.0,0.0,0.0,0.0
부천,5,2,33.0,7.0,7.0,9.0,0.3333333333333333
성남 분당,8,7,0.0,0.0,0.0,0.0,0.0
안산 상록,7,3,0.0,0.0,0.0,0.0,0.0
성남 수정,8,8,0.0,0.0,0.0,0.0,0.0
용인 수지,8,9,0.0,0.0,0.0,0.0,0.0
시흥,6,3,19.0,9.0,1.0,8.0,0.37037037037037035
안성,10,4,5.0,5.0,0.0,0.0,1.0
양주,1,3,15.0,7.0,0.0,0.0,0.4666666666666667
양평,4,9,5.0,3.0,0.0,1.0,0.5
여주,5,9,5.0,2.0,1.0,0.0,0.6
연천,1,5,1.0,0.0,2.0,0.0,2.0
수원 영통,9,7,0.0,0.0,0.0,0.0,0.0
오산,10,3,8.0,6.0,0.0,2.0,0.6
의왕,9,6,6.0,1.0,0.0,1.0,0.14285714285714285
의정부,1,7,23.0,12.0,0.0,4.0,0.4444444444444444
이천,6,9,7.0,8.0,3.0,1.0,1.375
고양 일산동,2,4,0.0,0.0,0.0,0.0,0.0
고양 일산서,3,3,0.0,0.0,0.0,0.0,0.0
수원 장안,10,6,0.0,0.0,0.0,0.0,0.0
성남 중원,7,8,0.0,0.0,0.0,0.0,0.0
용인 처인,9,9,0.0,0.0,0.0,0.0,0.0
파주,2,3,19.0,7.0,1.0,8.0,0.2962962962962963
수원 팔달,11,6,0.0,0.0,0.0,0.0,0.0
평택,11,4,14.0,10.0,1.0,5.0,0.5789473684210527
포천,1,6,11.0,5.0,0.0,1.0,0.4166666666666667
하남,3,9,19.0,10.0,1.0,1.0,0.55
화성,9,3,26.0,19.0,5.0,11.0,0.6486486486486487
거제,22,8,7.0,5.0,0.0,0.0,0.7142857142857143
거창,16,6,1.0,0.0,0.0,1.0,0.0
고성(경남),22,7,1.0,0.0,0.0,2.0,0.0
김해,20,9,27.0,12.0,0.0,2.0,0.41379310344827586
남해,22,6,1.0,0.0,0.0,0.0,0.0
창원 합포,19,8,0.0,0.0,0.0,0.0,0.0
창원 회원,21,7,0.0,0.0,0.0,0.0,0.0
밀양,17,8,5.0,3.0,0.0,0.0,0.6
사천,21,6,4.0,2.0,0.0,0.0,0.5
산청,19,5,1.0,1.0,0.0,0.0,1.0
창원 성산,20,7,0.0,0.0,0.0,0.0,0.0
양산,19,7,15.0,6.0,0.0,1.0,0.375
의령,18,7,0.0,0.0,0.0,0.0,0.0
창원 의창,20,6,0.0,0.0,0.0,0.0,0.0
진주,18,6,20.0,7.0,1.0,4.0,0.3333333333333333
창원 진해,20,8,0.0,0.0,0.0,0.0,0.0
창녕,17,7,4.0,1.0,0.0,0.0,0.25
통영,21,8,1.0,2.0,1.0,3.0,0.75
하동,20,5,0.0,0.0,0.0,0.0,0.0
함안,19,6,1.0,0.0,2.0,0.0,2.0
함양,17,6,1.0,1.0,0.0,0.0,1.0
합천,16,7,1.0,0.0,0.0,0.0,0.0
경산,12,11,9.0,8.0,0.0,3.0,0.6666666666666666
경주,12,12,25.0,8.0,2.0,2.0,0.37037037037037035
고령,13,9,1.0,1.0,0.0,0.0,1.0
구미,10,10,14.0,10.0,1.0,6.0,0.55
군위,11,10,0.0,0.0,0.0,0.0,0.0
김천,11,9,3.0,2.0,0.0,0.0,0.6666666666666666
포항 남구,11,12,0.0,0.0,0.0,0.0,0.0
문경,8,10,5.0,1.0,0.0,0.0,0.2
봉화,8,11,1.0,0.0,0.0,0.0,0.0
포항 북구,10,12,0.0,0.0,0.0,0.0,0.0
상주,11,8,2.0,0.0,1.0,0.0,0.5
성주,13,11,1.0,0.0,0.0,0.0,0.0
안동,9,10,8.0,5.0,0.0,2.0,0.5
영덕,7,11,2.0,1.0,0.0,0.0,0.5
영양,9,11,0.0,0.0,0.0,0.0,0.0
영주,10,9,4.0,0.0,0.0,1.0,0.0
영천,12,10,1.0,0.0,0.0,0.0,0.0
예천,10,8,0.0,0.0,0.0,0.0,0.0
울릉,8,13,0.0,0.0,0.0,0.0,0.0
울진,6,11,3.0,0.0,1.0,1.0,0.25
의성,11,11,0.0,0.0,0.0,0.0,0.0
청도,13,10,2.0,1.0,0.0,0.0,0.5
청송,10,11,2.0,0.0,0.0,0.0,0.0
칠곡,12,9,6.0,1.0,0.0,0.0,0.16666666666666666
광주 광산,21,2,18.0,16.0,0.0,2.0,0.8
광주 남구,23,2,7.0,11.0,2.0,1.0,1.625
광주 동구,23,3,4.0,9.0,1.0,4.0,1.25
광주 북구,22,3,10.0,14.0,0.0,2.0,1.1666666666666667
광주 서구,22,2,10.0,15.0,1.0,2.0,1.3333333333333333
대구 남구,15,9,6.0,4.0,0.0,0.0,0.6666666666666666
대구 달서,16,8,12.0,21.0,0.0,5.0,1.2352941176470589
대구 달성,16,9,9.0,3.0,0.0,3.0,0.25
대구 동구,15,10,8.0,8.0,1.0,2.0,0.9
대구 북구,14,8,11.0,6.0,0.0,3.0,0.42857142857142855
대구 서구,15,8,1.0,3.0,0.0,0.0,3.0
대구 수성,14,10,9.0,23.0,2.0,2.0,2.272727272727273
대구 중구,14,9,7.0,14.0,3.0,3.0,1.7
대전 대덕,13,5,2.0,6.0,0.0,2.0,1.5
대전 동구,14,5,3.0,6.0,2.0,4.0,1.1428571428571428
대전 서구,16,4,12.0,25.0,2.0,10.0,1.2272727272727273
대전 유성,15,4,12.0,11.0,1.0,6.0,0.6666666666666666
대전 중구,15,5,3.0,5.0,0.0,7.0,0.5
부산 강서,18,8,7.0,2.0,1.0,0.0,0.42857142857142855
부산 금정,16,10,10.0,6.0,0.0,3.0,0.46153846153846156
부산 기장,16,12,5.0,6.0,1.0,0.0,1.4
부산 남구,19,11,14.0,6.0,0.0,1.0,0.4
부산 동구,18,10,5.0,6.0,1.0,0.0,1.4
부산 동래,16,11,12.0,6.0,0.0,1.0,0.46153846153846156
부산 부산진,17,10,18.0,21.0,2.0,3.0,1.0952380952380953
부산 북구,17,9,12.0,2.0,0.0,3.0,0.13333333333333333
부산 사상,18,9,3.0,3.0,0.0,0.0,1.0
부산 사하,19,10,14.0,9.0,0.0,1.0,0.6
부산 서구,19,9,6.0,3.0,0.0,0.0,0.5
부산 수영,20,11,6.0,7.0,1.0,0.0,1.3333333333333333
부산 연제,17,11,8.0,6.0,0.0,0.0,0.75
부산 영도,20,10,3.0,0.0,0.0,0.0,0.0
부산 중구,18,11,10.0,9.0,2.0,3.0,0.8461538461538461
부산 해운대,17,12,11.0,29.0,5.0,2.0,2.6153846153846154
서울 강남,8,6,47.0,87.0,69.0,12.0,2.6440677966101696
서울 강동,5,8,15.0,14.0,9.0,6.0,1.0952380952380953
서울 강북,3,5,12.0,5.0,2.0,1.0,0.5384615384615384
서울 강서,6,4,47.0,19.0,6.0,8.0,0.45454545454545453
서울 관악,7,5,21.0,12.0,3.0,4.0,0.6
서울 광진,6,7,16.0,16.0,5.0,4.0,1.05
서울 구로,9,4,20.0,12.0,2.0,6.0,0.5384615384615384
서울 금천,8,5,11.0,13.0,2.0,1.0,1.25
서울 노원,2,6,24.0,11.0,3.0,5.0,0.4827586206896552
서울 도봉,2,5,8.0,2.0,0.0,0.0,0.25
서울 동대문,4,7,19.0,8.0,4.0,3.0,0.5454545454545454
서울 동작,6,5,10.0,11.0,1.0,4.0,0.8571428571428571
서울 마포,5,5,28.0,33.0,11.0,5.0,1.3333333333333333
서울 서대문,4,5,14.0,22.0,8.0,4.0,1.6666666666666667
서울 서초,7,6,21.0,49.0,31.0,7.0,2.857142857142857
서울 성동,5,7,16.0,9.0,2.0,2.0,0.6111111111111112
서울 성북,3,6,22.0,15.0,4.0,7.0,0.6551724137931034
서울 송파,6,8,28.0,34.0,13.0,10.0,1.236842105263158
서울 양천,7,4,14.0,12.0,4.0,0.0,1.1428571428571428
서울 영등포,8,4,27.0,30.0,13.0,5.0,1.34375
서울 용산,6,6,11.0,22.0,6.0,4.0,1.8666666666666667
서울 은평,5,4,17.0,11.0,2.0,6.0,0.5652173913043478
서울 종로,4,6,15.0,33.0,15.0,5.0,2.4
서울 중구,5,6,23.0,57.0,15.0,7.0,2.4
서울 중랑,4,8,13.0,7.0,2.0,2.0,0.6
세종,13,4,18.0,9.0,1.0,2.0,0.5
울산 남구,15,12,30.0,19.0,2.0,5.0,0.6
울산 동구,14,12,8.0,2.0,0.0,1.0,0.2222222222222222
울산 북구,13,12,16.0,5.0,0.0,1.0,0.29411764705882354
울산 울주,14,11,12.0,1.0,0.0,1.0,0.07692307692307693
울산 중구,15,11,15.0,7.0,2.0,1.0,0.5625
인천 강화,5,1,1.0,1.0,0.0,1.0,0.5
인천 계양,7,2,13.0,3.0,0.0,6.0,0.15789473684210525
인천 남동,10,2,35.0,14.0,1.0,13.0,0.3125
인천 동구,6,2,2.0,2.0,0.0,0.0,1.0
인천 미추홀,9,2,14.0,8.0,0.0,4.0,0.4444444444444444
인천 부평,8,2,26.0,11.0,2.0,2.0,0.4642857142857143
인천 서구,6,1,27.0,8.0,0.0,4.0,0.25806451612903225
인천 연수,10,1,14.0,14.0,7.0,7.0,1.0
인천 옹진,10,0,2.0,0.0,0.0,0.0,0.0
인천 중구,9,1,14.0,5.0,3.0,4.0,0.4444444444444444
강진,24,1,1.0,0.0,0.0,0.0,0.0
고흥,22,5,3.0,0.0,0.0,0.0,0.0
