date,서울,부산,대구,인천,대전,광주,울산,세종,경기,강원,충북,충남,경북,경남,전북,전남,제주,합계
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,10,3,469,0,0,0,3,0,7,8,1,13,67,4,1,0,0,586
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,1,3,405,2,1,2,3,0,7,1,0,1,89,1,0,0,0,516
2020-03-05,4,-1,321,0,1,1,0,0,9,2,1,4,87,9,0,-1,1,438
2020-03-06,2,3,367,0,2,-1,0,0,10,2,3,4,123,3,0,0,0,518
2020-03-07,3,1,390,0,0,0,0,1,10,1,5,2,65,5,0,0,0,483
2020-03-08,12,1,297,0,0,0,1,1,11,1,4,6,32,1,0,0,0,367
2020-03-09,10,-1,190,0,1,2,0,3,11,1,1,4,26,0,0,0,0,248
2020-03-10,11,0,92,4,-1,0,0,2,11,0,0,2,10,0,0,0,0,131
2020-03-11,52,2,131,12,0,0,1,2,12,1,2,8,18,1,0,0,0,242
2020-03-12,19,1,73,0,2,0,0,5,3,0,0,2,8,1,0,0,0,114
2020-03-13,13,1,61,2,2,0,2,17,7,0,0,1,4,0,0,0,0,110
2020-03-14,13,3,62,1,0,0,0,6,15,0,1,0,6,0,0,0,0,107
2020-03-15,9,3,41,2,0,1,1,1,11,0,3,0,4,0,0,0,0,76
2020-03-16,6,1,35,0,0,0,0,1,20,0,0,0,7,0,0,0,0,70
2020-03-17,12,0,32,1,0,0,0,0,31,0,0,0,5,1,0,0,0,82
2020-03-18,5,0,46,1,0,1,2,1,15,1,1,3,9,0,2,1,0,88
2020-03-19,12,0,97,0,0,0,6,0,18,0,1,0,12,0,1,0,0,147
2020-03-20,17,1,34,4,0,1,0,0,14,0,0,1,13,1,0,0,0,86
2020-03-21,15,0,69,4,0,0,0,0,12,0,1,0,40,0,0,0,0,141
